"Sleep HRV — 2026-09-10 to 2026-09-16
========================
Note: dates are wake-up days (each value comes from the night that ended that morning).

HRV Assessment — Last 7 days
========================

2026-09-16:
  HRV Avg: 41 ms — Above normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-15:
  HRV Avg: 37 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-14:
  HRV Avg: 34 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-13:
  HRV Avg: 29 ms — Below normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-12:
  HRV Avg: 36 ms — Normal
  Normal Range: 31 - 39 ms
  Baseline: 35 ms
2026-09-11:
  HRV Avg: 35 ms — Normal
  Normal Range: 30 - 38 ms
  Baseline: 34 ms
2026-09-10:
  HRV Avg: 39 ms — Normal
  Normal Range: 29 - 39 ms
  Baseline: 34 ms

Sleep HRV Time Series — Last 7 days
========================

  timestamp=1789215290, timezone=12, hrv=18 ms, status=0, confidence=100
  timestamp=1789215590, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789217390, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789217990, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789234790, timezone=12, hrv=43 ms, status=0, confidence=100
  timestamp=1789235090, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789242590, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789242890, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789243490, timezone=12, hrv=38 ms, status=0, confidence=100
  timestamp=1789244090, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789244690, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789245290, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789245890, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789246790, timezone=12, hrv=36 ms, status=0, confidence=100
2026-09-13:
  timestamp=1789247390, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789247990, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789248590, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789249190, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789249790, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789250390, timezone=12, hrv=32 ms, status=0, confidence=100
  timestamp=1789251290, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789251890, timezone=12, hrv=58 ms, status=0, confidence=90
  timestamp=1789252490, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789253090, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789253690, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789254290, timezone=12, hrv=29 ms, status=0, confidence=100
  timestamp=1789255190, timezone=12, hrv=30 ms, status=0, confidence=100
  timestamp=1789255790, timezone=12, hrv=25 ms, status=0, confidence=100
  timestamp=1789256390, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789256990, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789257590, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1789258190, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789259090, timezone=12, hrv=34 ms, status=0, confidence=100
  timestamp=1789259690, timezone=12, hrv=40 ms, status=0, confidence=100
  timestamp=1789260290, timezone=12, hrv=26 ms, status=0, confidence=97
  timestamp=1789260890, timezone=12, hrv=33 ms, status=0, confidence=100
  timestamp=1789261490, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789262090, timezone=12, hrv=43 ms, status=0, confidence=91
  timestamp=1789262690, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789263590, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789264190, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789264790, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789265390, timezone=12, hrv=28 ms, status=0, confidence=100
  timestamp=1789265990, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789266590, timezone=12, hrv=26 ms, status=0, confidence=100
  timestamp=1789267190, timezone=12, hrv=45 ms, status=0, confidence=97
  timestamp=1789268090, timezone=12, hrv=20 ms, status=0, confidence=100
  timestamp=1789268690, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1789269290, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789269890, timezone=12, hrv=22 ms, status=0, confidence=100
  timestamp=1789270490, timezone=12, hrv=52 ms, status=0, confidence=100
  timestamp=1789271090, timezone=12, hrv=24 ms, status=0, confidence=100
  timestamp=1789274090, timezone=12, hrv=23 ms, status=0, confidence=100
  timestamp=1789274390, timezone=12, hrv=50 ms, status=0, confidence=92
  timestamp=1789277090, timezone=12, hrv=47 ms, status=0, confidence=97
  timestamp=1789279490, timezone=12, hrv=63 ms, status=0, confidence=87
  timestamp=1789279790, timezone=12, hrv=27 ms, status=0, confidence=100
  timestamp=1789281590, timezone=12, hrv=54 ms, status=0, confidence=97
  timestamp=1789281890, timezone=12, hrv=60 ms, status=0, confidence=86
  timestamp=1789282790, timezone=12, hrv=21 ms, status=0, confidence=93
  timestamp=1789285490, timezone=12, hrv=52 ms, status=0, confidence=88
  timestamp=1789286690, timezone=12, hrv=51 ms, status=0, confidence=94
  timestamp=1789289990, timezone=12, hrv=49 ms, status=0, confidence=97
  timestamp=1789292990, timezone=12, hrv=37 ms, status=0, confidence=100
  timestamp=1789298090, timezone=12, hrv=21 ms, status=0, confidence=100
  timestamp=1789299590, timezone=12, hrv=35 ms, status=0, confidence=100
  timestamp=1789299890, timezone=12, hrv=51 ms, status=0, confidence=97
  timestamp=1789300190, timezone=12, hrv=89 ms, status=0, confidence=92
  timestamp=1789301390, timezone=12, hrv=46 ms, status=0, confidence=97
  timestamp=1789301690, timezone=12, hrv=42 ms, status=0, confidence=100
  timestamp=1789302290, timezone=12, hrv=55 ms, status=0, confidence=100
  timestamp=1789302590, timezone=12, hrv=67 ms, status=0, confidence=90
  timestamp=1789307690, timezone=12, hrv=47 ms, status=0, confidence=100
